,index,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
0,4,2341044,334279,-35,36.0,35.0,Active,0,0
1,89,1560980,141739,-34,24.0,8.0,Active,0,0
2,837,2689496,139070,-24,12.0,8.0,Active,0,0
3,870,2837716,161017,-25,6.0,3.0,Active,0,0
4,1215,2643605,132253,-33,18.0,17.0,Active,0,0
5,1310,1847412,447810,-2,4.0,0.0,Completed,0,0
6,1368,1589515,178261,-26,14.0,2.0,Active,0,0
7,1393,1271632,320745,-25,13.0,0.0,Completed,0,0
8,1579,1362128,407337,-25,6.0,6.0,Active,0,0
9,1814,2288386,107972,-27,14.0,3.0,Active,0,0
10,1816,2178360,196909,-25,12.0,3.0,Active,0,0
11,1864,1718427,366001,-6,12.0,10.0,Active,0,0
12,1900,1598658,345858,-6,6.0,6.0,Active,0,0
13,1918,2711911,262620,-6,24.0,21.0,Active,0,0
14,1919,1315190,130451,-5,12.0,12.0,Active,0,0
15,2039,1563054,315503,-46,24.0,11.0,Active,0,0
16,2360,1209671,340219,-20,6.0,1.0,Active,0,0
17,2445,2164294,370025,-34,24.0,8.0,Active,0,0
18,2655,2842986,212327,-47,24.0,12.0,Active,0,0
19,2893,1383324,163222,-47,24.0,12.0,Active,0,0
20,2935,1461654,284706,-35,36.0,35.0,Active,0,0
21,2980,1815766,224535,-36,24.0,9.0,Active,0,0
22,3159,2842986,212327,-43,24.0,8.0,Active,0,0
23,3225,1028992,388143,-28,12.0,4.0,Active,0,0
24,3291,2773834,156577,-38,18.0,17.0,Active,0,0
25,3387,2218119,368174,-37,11.0,0.0,Completed,0,0
26,3568,1711094,295235,-37,36.0,21.0,Active,0,0
27,3836,1373828,340514,-31,17.0,0.0,Completed,0,0
28,3856,1339978,453145,-40,6.0,1.0,Active,0,0
29,3872,2140469,331304,-31,6.0,3.0,Active,0,0
30,3993,1950894,279361,-46,12.0,5.0,Active,0,0
31,4946,1743698,289643,-15,11.0,0.0,Completed,0,0
32,4991,1869859,133570,-46,12.0,4.0,Active,0,0
33,5289,1895200,355975,-48,12.0,3.0,Active,0,0
34,5411,2791805,389964,-31,24.0,24.0,Active,0,0
35,5460,1899087,257000,-41,1.0,0.0,Completed,0,0
36,5730,1596898,323048,-32,36.0,31.0,Active,0,0
37,5956,1711094,295235,-44,36.0,28.0,Active,0,0
38,6203,1130522,372112,-23,12.0,6.0,Active,0,0
39,6351,2393114,334522,-41,48.0,43.0,Active,0,0
40,6805,1954844,211191,-5,12.0,10.0,Active,0,0
41,6829,2305614,363136,-47,12.0,5.0,Active,0,0
42,6904,2725709,311181,-26,24.0,14.0,Active,0,0
43,6939,2206045,453370,-28,12.0,3.0,Active,0,0
44,7215,1770445,170223,-44,12.0,2.0,Active,0,0
45,7276,2683042,256355,-38,36.0,32.0,Active,0,0
46,7283,2149001,187948,-41,6.0,4.0,Active,0,0
47,7381,2180918,309790,-47,6.0,0.0,Completed,0,0
48,7510,2386297,269704,-12,54.0,36.0,Active,0,0
49,7604,1084166,233093,-17,12.0,12.0,Active,0,0
50,7811,1723421,335333,-17,10.0,5.0,Active,0,0
51,7831,1276708,427145,-17,24.0,24.0,Active,0,0
52,7988,1752288,333071,-15,12.0,6.0,Active,0,0
53,8035,1693717,225532,-17,6.0,2.0,Active,0,0
54,8139,1363309,337510,-35,6.0,5.0,Active,0,0
55,8292,1690026,119501,-17,10.0,7.0,Active,0,0
56,8600,1568934,347097,-18,12.0,0.0,Completed,0,0
57,8774,1985845,239869,-8,24.0,19.0,Active,0,0
58,9082,2690627,444792,-58,6.0,6.0,Active,0,0
59,9113,2179506,146004,-64,10.0,6.0,Active,0,0
60,9191,1994757,384154,-17,24.0,22.0,Active,0,0
61,9396,1452989,374994,-11,24.0,19.0,Active,0,0
62,9453,1337388,129750,-2,24.0,12.0,Active,0,0
63,9479,1270777,278750,-12,60.0,53.0,Active,0,0
64,9496,2035319,182506,-3,12.0,1.0,Active,0,0
65,9524,2804006,399179,-18,48.0,48.0,Active,0,0
66,9556,1378026,449196,-18,35.0,16.0,Active,0,0
67,10154,2586282,425431,-11,12.0,11.0,Active,0,0
68,10163,2360135,178176,-6,24.0,3.0,Active,0,0
69,10197,1219603,377473,-10,18.0,15.0,Active,0,0
70,10254,1604425,275154,-2,24.0,20.0,Active,0,0
71,10340,2056185,300212,-11,24.0,5.0,Active,0,0
72,10433,2028230,153518,-10,60.0,56.0,Active,0,0
73,10620,2074836,336515,-9,18.0,16.0,Active,0,0
74,10761,1152940,144068,-14,24.0,19.0,Active,0,0
75,10921,1271423,379331,-10,10.0,10.0,Active,0,0
76,11061,1270777,278750,-18,60.0,59.0,Active,0,0
77,11496,2088743,112878,-8,24.0,15.0,Active,0,0
78,11611,2055980,175406,-2,24.0,10.0,Active,0,0
