,index,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
0,300260,447855,0,Cash loans,F,N,Y,0,67500.0,62361.0,6205.5,58500.0,Children,Pensioner,Secondary / secondary special,Separated,House / apartment,0.019689,-24709,365243,-10401.0,-4571,,1,0,0,1,0,0,,1.0,2,2,MONDAY,11,0,0,0,0,0,0,XNA,,0.6819976595054852,0.7136313997323308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-399.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
1,306583,455206,0,Cash loans,M,Y,Y,0,175500.0,360000.0,24187.5,360000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-13903,-794,-1130.0,-2397,17.0,1,1,0,1,0,0,,2.0,2,2,THURSDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.6334501956143918,0.2807895743848605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
2,87011,200987,0,Cash loans,F,N,Y,0,103500.0,354276.0,13356.0,292500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.022625,-19823,-3085,-7036.0,-3369,,1,1,0,1,1,0,,1.0,2,2,SATURDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.6928309489473443,0.7388641852198745,0.4956658291397297,0.1495,0.073,0.9846,0.7892,0.0586,0.04,0.0345,0.3333,0.375,0.0447,0.1202,0.0985,0.0077,0.0203,0.1523,0.0758,0.9846,0.7975,0.0591,0.0403,0.0345,0.3333,0.375,0.0457,0.1313,0.1026,0.0078,0.0215,0.1509,0.073,0.9846,0.792,0.059000000000000004,0.04,0.0345,0.3333,0.375,0.0455,0.1223,0.1003,0.0078,0.0208,reg oper account,block of flats,0.1139,"Stone, brick",No,0.0,0.0,0.0,0.0,-1862.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
3,143249,266105,0,Cash loans,F,Y,Y,2,135000.0,539100.0,27652.5,450000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.025164,-16489,-8084,-5779.0,-26,4.0,1,1,0,1,0,0,Core staff,4.0,2,2,SUNDAY,11,0,0,0,0,0,0,Medicine,,0.48415865687646004,0.5262949398096192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-1889.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
4,42761,149504,1,Cash loans,M,N,N,0,202500.0,675000.0,24930.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.0228,-10731,-1931,-3995.0,-3379,,1,1,0,1,1,0,Sales staff,2.0,2,2,TUESDAY,12,0,0,0,0,0,0,Self-employed,0.1282413976698571,0.6227339611529239,0.3723336657058204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1149.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
5,260277,401211,0,Cash loans,F,N,Y,1,337500.0,781920.0,32998.5,675000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.032561,-14547,-1863,-3807.0,-4079,,1,1,0,1,1,0,,2.0,1,1,SUNDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.6262363817885489,,0.4691,0.2639,0.9871,0.8232,,0.4,0.1724,0.4583,,0.3873,0.369,0.2737,0.0618,0.0316,0.4779,0.2738,0.9871,0.8301,,0.4028,0.1724,0.4583,,0.3961,0.4031,0.2852,0.0623,0.0334,0.4736,0.2639,0.9871,0.8256,,0.4,0.1724,0.4583,,0.39399999999999996,0.3754,0.2786,0.0621,0.0322,reg oper account,,0.3708,Panel,No,3.0,0.0,3.0,0.0,-1537.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,139156,261350,0,Cash loans,F,Y,Y,1,135000.0,807984.0,26833.5,697500.0,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.010032,-21200,365243,-755.0,-3856,17.0,1,0,0,1,0,0,,2.0,2,2,MONDAY,9,0,0,0,0,0,0,XNA,,0.12142921959832192,0.3296550543128238,0.0082,0.0,0.9707,,,0.0,0.069,0.0417,,,,0.0114,,0.0059,0.0084,0.0,0.9707,,,0.0,0.069,0.0417,,,,0.0119,,0.0062,0.0083,0.0,0.9707,,,0.0,0.069,0.0417,,,,0.0116,,0.006,,block of flats,0.0102,,No,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,210295,343698,0,Cash loans,F,N,Y,1,180000.0,239850.0,23850.0,225000.0,Family,Commercial associate,Higher education,Separated,House / apartment,0.04622,-14695,-1010,-1230.0,-5253,,1,1,1,1,0,0,,2.0,1,1,TUESDAY,13,0,1,1,0,1,1,Business Entity Type 3,0.7236877725430401,0.7437579148242843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-646.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,65650,176137,0,Cash loans,F,N,Y,1,112500.0,281493.0,24291.0,243000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00733,-16300,-2151,-7243.0,-4509,,1,1,0,1,0,0,Cooking staff,3.0,2,2,TUESDAY,9,0,0,0,0,1,1,Business Entity Type 3,,0.5924325685154291,0.6956219298394389,0.0082,,0.9826,0.6464,,0.0,0.069,0.0417,0.0,,0.0067,0.0089,0.0,,0.0084,,0.9826,0.6602,,0.0,0.069,0.0417,0.0,,0.0073,0.0093,0.0,,0.0083,,0.9826,0.6511,,0.0,0.069,0.0417,0.0,,0.0068,0.0091,0.0,,reg oper account,block of flats,,"Stone, brick",No,2.0,0.0,2.0,0.0,-113.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
9,65745,176236,0,Cash loans,M,Y,Y,0,360000.0,582768.0,46174.5,540000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.009334,-10052,-794,-4567.0,-2736,8.0,1,1,0,1,0,1,Laborers,1.0,2,2,FRIDAY,17,0,0,0,0,1,1,Business Entity Type 3,0.1623134330936319,0.5764107227909242,0.7136313997323308,0.0742,0.0516,0.9896,0.8572,0.0216,0.08,0.069,0.3333,0.375,0.0,0.0605,0.0807,0.0,0.0,0.0756,0.0536,0.9896,0.8628,0.0218,0.0806,0.069,0.3333,0.375,0.0,0.0661,0.0841,0.0,0.0,0.0749,0.0516,0.9896,0.8591,0.0218,0.08,0.069,0.3333,0.375,0.0,0.0616,0.0822,0.0,0.0,reg oper account,specific housing,0.0753,Panel,No,1.0,0.0,1.0,0.0,-1688.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0
