,index,SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
0,1257,128259,5716006,Active,currency 1,-455,0,641.0,,,0,332010.0,235309.5,0.0,0.0,Consumer credit,-41,
1,3066,266699,5718244,Closed,currency 1,-446,0,558.0,-296.0,,0,238500.0,0.0,0.0,0.0,Consumer credit,-58,
2,3067,266699,5718246,Active,currency 1,-449,0,383.0,,,0,180000.0,100399.5,0.0,0.0,Credit card,-85,
3,3068,266699,5718247,Active,currency 1,-298,0,1528.0,,,0,657000.0,583906.5,0.0,0.0,Consumer credit,-13,
4,3069,266699,5718248,Closed,currency 1,-2451,0,-2147.0,-2147.0,0.0,0,62955.0,0.0,0.0,0.0,Consumer credit,-2147,
5,3241,255847,5718459,Closed,currency 1,-1157,0,-1064.0,-1049.0,,0,28080.0,0.0,0.0,0.0,Consumer credit,-981,0.0
6,3242,255847,5718460,Closed,currency 1,-1335,0,-1152.0,-1152.0,,0,67005.0,0.0,0.0,0.0,Consumer credit,-1151,0.0
7,3243,255847,5718461,Active,currency 1,-1819,0,-5.0,,,0,675000.0,39708.0,0.0,0.0,Consumer credit,-20,40194.0
8,3244,255847,5718462,Active,currency 1,-1364,0,463.0,,,0,450000.0,127458.0,0.0,0.0,Consumer credit,-37,9063.0
9,3245,255847,5718463,Active,currency 1,-782,0,1044.0,,,0,990000.0,594000.0,0.0,0.0,Consumer credit,-20,7065.0
10,3246,255847,5718464,Closed,currency 1,-1156,0,-1064.0,-1064.0,,0,28080.0,0.0,,0.0,Consumer credit,-1058,0.0
11,3247,255847,5718465,Closed,currency 1,-1109,0,-516.0,-515.0,,0,45000.0,0.0,,0.0,Credit card,-512,0.0
12,3406,332225,5718651,Active,currency 1,-259,0,44.0,,,0,121455.0,25814.43,,0.0,Consumer credit,-4,
13,3407,332225,5718653,Closed,currency 1,-2574,0,-755.0,-755.0,,0,999000.0,0.0,0.0,0.0,Consumer credit,-59,0.0
14,3408,332225,5718654,Closed,currency 1,-1291,0,-743.0,-743.0,,0,247500.0,0.0,0.0,0.0,Consumer credit,-182,0.0
15,3409,332225,5718655,Closed,currency 1,-1342,0,-1160.0,-1151.0,,0,32683.5,0.0,0.0,0.0,Consumer credit,-1146,0.0
16,3410,332225,5718656,Active,currency 1,-319,0,930.0,,,0,67500.0,40954.5,0.0,0.0,Credit card,-152,
17,3411,332225,5718657,Active,currency 1,-364,0,1462.0,,,0,112500.0,99076.5,0.0,0.0,Consumer credit,-28,2947.5
18,3412,332225,5718658,Active,currency 1,-438,0,1388.0,,,0,147150.0,125608.5,0.0,0.0,Consumer credit,-38,3780.0
19,3413,332225,5718659,Active,currency 1,-779,0,1047.0,,,0,225000.0,162684.0,0.0,0.0,Consumer credit,-18,6574.5
20,3414,332225,5718660,Active,currency 1,-580,0,1246.0,,,0,229500.0,178956.0,0.0,0.0,Consumer credit,-33,5643.0
21,3415,332225,5718661,Active,currency 1,-805,0,1021.0,,,0,490500.0,355644.0,0.0,0.0,Consumer credit,-43,14440.5
22,3416,332225,5718662,Active,currency 1,-117,0,,,0.0,0,247500.0,227135.88,20364.12,0.0,Credit card,-13,33425.46
23,3956,235644,5719276,Closed,currency 1,-660,0,-448.0,-597.0,,0,42986.79,0.0,,0.0,Consumer credit,-4,
24,3957,235644,5719279,Closed,currency 1,-424,0,-371.0,-161.0,,0,180000.0,0.0,0.0,0.0,Credit card,-159,0.0
25,3958,235644,5719282,Closed,currency 1,-2586,0,-2222.0,-2217.0,,0,51786.0,,,0.0,Consumer credit,-2217,0.0
26,3959,235644,5719283,Closed,currency 1,-2757,0,-2131.0,-2128.0,,0,180000.0,0.0,,0.0,Consumer credit,-2128,0.0
27,3960,235644,5719284,Closed,currency 1,-2128,0,-1400.0,-1581.0,,0,180000.0,0.0,,0.0,Consumer credit,-1581,0.0
28,3961,235644,5719285,Active,currency 1,-350,0,744.0,,,0,1350000.0,1018831.5,,0.0,Consumer credit,-15,0.0
29,3962,235644,5719286,Closed,currency 1,-1516,0,9443.0,-6.0,,0,0.0,,,0.0,Credit card,-6,0.0
