,index,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
0,113,2150075,208643,-1,181938.285,180000,0.0,19544.535,0.0,19544.535,8397.495,9000.0,9000.0,178494.345,181938.285,181938.285,0.0,12,0.0,12.0,11.0,Active,0,0
1,499,2243487,399174,-7,225.0,90000,0.0,23316.75,0.0,23316.75,0.0,24075.0,24075.0,225.0,225.0,225.0,0.0,13,0.0,13.0,0.0,Active,0,0
2,570,2094987,131528,-7,275898.78,450000,45000.0,45000.0,0.0,0.0,9657.63,18000.0,18000.0,265152.96,274553.28,274553.28,1.0,1,0.0,0.0,22.0,Active,0,0
3,624,2200463,258259,-7,43167.915,45000,0.0,45990.225,0.0,45990.225,225.0,48047.31,48047.31,43167.915,43167.915,43167.915,0.0,18,0.0,18.0,2.0,Active,0,0
4,714,2533201,263339,-6,346470.795,337500,0.0,2134.575,0.0,2134.575,17760.645,18018.495,18018.495,335615.895,345350.295,345350.295,0.0,3,0.0,3.0,4.0,Active,0,0
5,830,1293890,418549,-7,11577.69,382500,0.0,11376.0,0.0,11376.0,2250.0,18147.15,18147.15,11336.58,11577.69,11577.69,0.0,3,0.0,3.0,4.0,Active,0,0
6,945,1260518,154402,-7,141319.395,135000,0.0,24694.65,0.0,24694.65,5803.02,6750.0,6750.0,134004.825,140363.415,140363.415,0.0,13,0.0,13.0,24.0,Active,0,0
7,993,1380864,253950,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,729.45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,Active,0,0
8,1073,1223221,126549,-7,0.0,135000,0.0,0.0,0.0,0.0,0.0,265.5,265.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active,0,0
9,1093,1282185,424020,-4,0.0,180000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,48.0,Completed,0,0
10,1165,1618355,113240,-3,0.0,360000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
11,1177,2605555,189207,-7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16.0,Active,0,0
12,1220,1238217,306896,-6,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
13,1531,1817654,451008,-3,0.0,225000,0.0,0.0,0.0,0.0,12075.615,4997.295,2747.295,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Active,0,0
14,1862,1976500,399102,-5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
15,1922,1671941,433519,-6,211537.125,225000,3600.0,3600.0,0.0,0.0,12001.365,31500.0,19227.105,204458.535,211316.625,211316.625,1.0,1,0.0,0.0,14.0,Active,0,0
16,1928,2085756,429846,-6,34285.095,225000,0.0,3807.45,0.0,3807.45,2250.0,2250.0,0.0,33939.63,34285.095,34285.095,0.0,4,0.0,4.0,12.0,Active,0,0
17,2107,2458362,364547,-6,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
18,2417,1316947,299672,-1,0.0,112500,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
19,2948,2243728,110343,-7,346675.68,360000,9000.0,9000.0,0.0,0.0,18646.605,22500.0,22500.0,331441.605,345424.68,345424.68,1.0,1,0.0,0.0,3.0,Active,0,0
20,3054,2234059,314602,-2,249618.6,270000,0.0,4089.15,0.0,4089.15,13280.13,13725.0,171.855,246806.955,249618.6,249618.6,0.0,3,0.0,3.0,27.0,Active,0,0
21,3309,1356381,115827,-7,2160.945,337500,0.0,0.0,0.0,0.0,6832.215,138915.0,138915.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,Active,0,0
22,3631,2653174,310463,-7,47455.74,45000,0.0,0.0,0.0,0.0,2375.955,0.0,0.0,44448.795,47207.97,47207.97,0.0,0,0.0,0.0,3.0,Active,0,0
23,3779,1776408,308082,-5,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Completed,0,0
24,3917,1330538,223067,-7,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Completed,0,0
25,4108,1560405,297313,-6,0.0,337500,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Completed,0,0
26,4116,2728782,273337,-1,0.0,45000,0.0,0.0,0.0,0.0,0.0,3478.635,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29.0,Active,0,0
27,4320,1007402,204195,-7,1575.0,0,,0.0,,,0.0,,0.0,0.0,1575.0,1575.0,,0,,,0.0,Active,0,0
28,4649,1974207,265792,-6,0.0,202500,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
29,4730,1926000,231773,-6,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
30,5010,2841794,251984,-12,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
31,5014,2653174,310463,-22,0.0,180000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
32,5167,1380864,253950,-21,0.0,0,0.0,0.0,0.0,0.0,0.0,729.45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,Active,0,0
33,5497,1644645,332161,-51,0.0,180000,0.0,0.0,0.0,0.0,0.0,252.54,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,Active,0,0
34,5656,1627556,214518,-59,0.0,0,0.0,0.0,0.0,0.0,0.0,343.62,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,Active,0,0
35,5735,1292610,146641,-52,0.0,225000,0.0,0.0,0.0,0.0,67.5,481.545,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46.0,Active,0,0
36,5945,2248476,199477,-59,0.0,180000,0.0,0.0,0.0,0.0,0.0,4250.655,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16.0,Active,0,0
37,6150,2605702,265337,-7,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
