,index,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
0,47,1475738,235737,Cash loans,75897.63,2025000.0,2241513.0,,2025000.0,THURSDAY,19,Y,1,,,,XNA,Approved,-524,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,54.0,low_normal,Cash X-Sell: low,,,,,,
1,182,2284847,454600,Consumer loans,,27666.0,27666.0,0.0,27666.0,THURSDAY,16,Y,1,0.0,,,XAP,Unused offer,-357,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,30,Connectivity,,XNA,POS mobile with interest,,,,,,
2,275,2155374,453205,Consumer loans,4045.095,40455.0,36409.5,4045.5,40455.0,SATURDAY,10,Y,1,0.1089090909090909,,,XAP,Approved,-2603,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,2024,Consumer electronics,10.0,low_normal,POS household without interest,365243.0,-2572.0,-2302.0,-2422.0,-2413.0,0.0
3,276,2036614,453205,Consumer loans,1685.34,40455.0,36166.5,4288.5,40455.0,SATURDAY,10,Y,1,0.11545090504601073,,,XAP,Refused,-2603,Cash through the bank,SCO,Family,New,XNA,POS,XNA,Country-wide,2024,Consumer electronics,24.0,low_action,POS household without interest,,,,,,
4,423,2296751,121039,Revolving loans,33750.0,675000.0,675000.0,,675000.0,WEDNESDAY,17,Y,1,,,,XAP,Refused,-498,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
5,1636,1533901,268851,Cash loans,11343.285,157500.0,203139.0,,157500.0,SATURDAY,12,Y,1,,,,XNA,Refused,-179,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,,,,,,
6,1709,1402148,340514,Consumer loans,6459.345,61537.5,55350.0,6187.5,61537.5,MONDAY,12,Y,1,0.10950639853747714,,,XAP,Refused,-2852,XNA,SCO,,Repeater,XNA,POS,XNA,Stone,15,Connectivity,12.0,high,POS mobile with interest,,,,,,
7,1711,2834664,340701,Cash loans,22145.04,391500.0,427675.5,,391500.0,FRIDAY,9,Y,1,,,,XNA,Refused,-220,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,,,,,,
8,1758,2130686,162332,Consumer loans,4556.25,100602.0,100602.0,0.0,100602.0,THURSDAY,9,Y,1,0.0,,,XAP,Approved,-413,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,2300,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-382.0,308.0,365243.0,365243.0,0.0
9,1792,2355993,221506,Consumer loans,4512.15,23800.5,22482.0,2380.5,23800.5,FRIDAY,9,Y,1,0.10427675853558202,,,XAP,Approved,-2856,XNA,XAP,,New,Mobile,POS,XNA,Country-wide,18,Connectivity,6.0,low_normal,POS mobile with interest,365243.0,-2825.0,-2675.0,-2675.0,-2651.0,1.0
